mean,variance,std_dev,signal_energy,rms,peak_to_peak,delta_power,theta_power,alpha_power,beta_power,gamma_power,file_name
28.570417378569687,819.3946630671912,28.62507053383784,6701313.0,40.443335820044176,187.0,1212762325.0006824,1209148576.8706644,1506582427.9723866,1760605290.7037678,1029415965.2963873,D001.txt
31.778374420307543,17815.76830948832,133.47572179796714,77128620.0,137.20653552322344,1162.0,42966931647.07273,40884496919.95446,27348109610.48914,16587463015.021832,20273005777.92437,D002.txt
-25.015865267268733,5177.966797353583,71.95809056217087,23778006.0,76.18241471903949,434.0,1512437289.3716674,3910719871.7536745,21704409948.693027,4802404213.966141,10762400088.966587,D003.txt
-35.25213570905541,1428.9588830394302,37.80157249426841,10945840.0,51.688218726215446,253.0,563396321.0175884,1429826364.266395,2499145433.3835645,4799554870.663628,2528044534.249598,D004.txt
-15.550646814742494,7104.007747323882,84.28527598177443,30095867.0,85.70781973472866,696.0,2534259473.9838753,5744040401.321518,13296412751.276815,17225180008.754883,17849693325.059277,D005.txt
-33.69123749084696,522.9276093302226,22.86761048579896,6792937.0,40.71887882782229,159.0,302721475.12563777,432049300.7199239,689324144.9606937,1687962889.8421202,1189172580.5773132,D006.txt
-27.657310226995364,1499.1049215422754,38.71827632452503,9275738.0,47.58184244577481,311.0,816325517.8960615,2062159313.8605475,1829837374.5685873,3514070766.88366,3770737741.2153316,D007.txt
-17.464486209421526,10756.42350079167,103.7131790120796,45318686.0,105.1733415811761,1027.0,20824442050.849083,18121225779.842747,20944845425.406605,16308298096.479588,13681308727.924524,D008.txt
-6.316817183304857,193615.37924610596,440.0174760689693,793405688.0,440.06281531780576,2616.0,345331399674.9438,387477649714.3123,245159565710.87793,391266994829.6426,250511218773.61426,D009.txt
26.902855748108372,19290.026686987494,138.8885405171625,81996499.0,141.47010403046653,1178.0,42433724859.29242,33931570314.112152,39096258777.41887,25995798704.48157,19053592342.294662,D010.txt
-32.22943617280937,3232.106011715294,56.85161397634454,17497642.0,65.35168374060831,378.0,368324122.9301174,684371358.8278979,7581869399.39162,14317871764.280087,3942248979.764323,D011.txt
-2.3209665608982184,1740.2033021655893,41.7157440562384,7151683.0,41.780260745265785,325.0,639993480.8283224,1573173786.25799,1694693332.0648098,7231118643.995809,3228930724.419307,D012.txt
15.009763241396143,599.5190650403575,24.4850784160549,3379255.0,28.71954138915042,179.0,260525726.7643581,817786672.0020047,744758028.6070174,1418679219.7182987,1657757152.237204,D013.txt
-16.21308274347083,858.2472489052844,29.295857196970434,4593193.0,33.483000178477376,199.0,283114135.69085854,1209864651.4809048,1356909019.5157108,1721594773.0477536,2516402703.705852,D014.txt
20.86185013424457,871.8359304798591,29.52686794226335,5354995.0,36.15318411293173,187.0,621997526.671022,944156227.6496187,1249781498.7069497,2433724503.6555414,1969361892.9475827,D015.txt
0.32853307298022943,2752.5896496177124,52.46512793863856,11277802.0,52.46615655446618,354.0,1508990966.5419903,2887395576.7830596,3887460230.295601,7665220227.3611,6318198080.190187,D016.txt
-3.758847937515255,1391.2330343573992,37.29923637767131,5757768.0,37.48815775914792,229.0,320355352.3405538,1322804412.5888033,1904932613.3408666,2365445471.4402027,5682408584.553729,D017.txt
1.4915792042958262,4056.7224699737726,63.69240512002803,16629507.0,63.70986798366844,490.0,1668385774.2293892,2870904587.43804,3620705389.213955,7345169090.307156,17668903864.154743,D018.txt
-28.3060776177691,1029.769631112355,32.09002385652518,7501622.0,42.79022857166719,363.0,353199343.0429275,343199830.6884657,825424735.6473053,4323604388.713451,2607127857.5563374,D019.txt
13.973395167195509,1474.8748108550706,38.40409888091466,6842525.0,40.86723116818258,378.0,2407238103.7154555,2274271283.221534,2330998055.3388357,3169746179.273933,2056655430.0292623,D020.txt
-21.464242128386623,20490.586529526925,143.14533359326433,85837477.0,144.74563972594453,1411.0,26047693743.134254,18069493903.49954,22871662816.36827,44474971420.85578,41646139012.54561,D021.txt
-16.655845740785942,4874.6382090540665,69.81860933199734,21107971.0,71.77781973837686,439.0,1475176463.0642993,5165834929.470577,21979670926.643547,4548575150.733478,7117594764.049688,D022.txt
-7.76055650475958,4248.488676087667,65.18043169608244,17652805.0,65.64080219917511,520.0,1954517790.4371548,3037469706.324833,3214500382.205235,5178852272.541312,21600426366.605244,D023.txt
12.0136685379546,5940.551924472023,77.0749759939763,24929754.0,78.00564182295959,510.0,2055030169.6342654,5879972468.772402,8775204862.23628,18378811935.042316,13109554988.193485,D024.txt
6.03539175006102,8311.237946838233,91.16599117455057,34200379.0,91.36555095009791,633.0,3665466112.37141,10070881570.100142,13916308187.851662,27050316424.73157,14115869457.216797,D025.txt
