mean,variance,std_dev,signal_energy,rms,peak_to_peak,delta_power,theta_power,alpha_power,beta_power,gamma_power,file_name
5.156944105443007,2553.3619929070537,50.530802417011486,10570080.0,50.79326791429862,389.0,3010378304.428498,2414689111.1670275,2299568891.250551,2970545261.4095364,9350606539.138987,B001.txt
8.333658774713205,2277.5520840749246,47.723705682552826,9615667.0,48.445866208049985,338.0,2250344777.8114657,1064117347.6862493,2216050558.473658,3056185908.4986014,9435181489.671125,B002.txt
-3.067122284598487,3337.3904177133845,57.770151615807485,13711830.0,57.85151386802306,429.0,3619058729.825229,3929319801.4119725,3116793078.0305853,2679318097.467145,13135427661.54049,B003.txt
8.916524286062973,4223.559543887193,64.9889186237715,17629653.0,65.5977434766711,461.0,3955289083.8821707,3979574629.2703366,2282581396.6438026,2805082083.1580067,20600314033.920303,B004.txt
-4.037588479375152,3183.1657826151272,56.41955142160497,13108220.0,56.56383918497674,405.0,2207403542.9620852,1575367815.2091398,1497887332.3049767,1223757659.2153125,18803677962.832996,B005.txt
56.79448376861118,2691.0141457976983,51.87498574262646,24240423.0,76.91961734395679,449.0,2504772854.259524,1437689449.2123723,1268501259.3912573,2192876170.0024257,13654457115.948778,B006.txt
-19.586038564803516,7282.7166027351495,85.33883408352348,31408952.0,87.55757825223994,576.0,10118623627.920996,13318234837.916897,7677655533.924679,8603060760.606535,19982274987.31803,B007.txt
9.422016109348304,2561.9700595916365,50.615907179380244,10860100.0,51.485380907170686,355.0,2878514553.643996,1801046416.530821,1762280591.3028185,2947795346.651322,10519088901.869965,B008.txt
11.175738345130583,4035.208071367221,63.52328763034247,17043951.0,64.49887750128713,450.0,9615854902.244934,4111941226.1890726,2403698310.8212914,3023804155.672777,13484430877.21627,B009.txt
5.906028801562119,8359.866932167099,91.43230792322318,34393283.0,91.62285800154882,572.0,2002158008.578157,1777992875.4045243,2024687724.9572666,3880130677.8206415,57356131190.14255,B010.txt
-18.54674151818404,10638.169221137237,103.14150096414748,44993872.0,104.79575774848699,669.0,2260899179.8640466,1700303619.6952567,2451619982.8988414,3734139981.5735064,76143736144.70404,B011.txt
-1.5482060043934587,2117.8839954391337,46.02047365509327,8686791.0,46.046508415635316,391.0,1043732459.2614877,643533757.8277035,551725856.5015231,1254900685.150019,11866863750.37541,B012.txt
-51.78301195997071,3114.690773158998,55.80941473585795,23746913.0,76.13258895378159,402.0,1771817643.903293,924905873.3671615,669472120.6723838,1338379749.5244794,19129024190.902996,B013.txt
-50.99365389309251,9448.24355259976,97.2020758656921,49363099.0,109.76609809029503,643.0,1867289243.4617271,1632321193.2373557,2073544570.281625,2732004616.9573536,67607420518.56448,B014.txt
6.190139126189895,9335.225013820038,96.61896818855,38403405.0,96.81705860137265,643.0,1863910965.07081,1293922367.3610775,1355841089.9206786,3691814021.314234,66830669740.85318,B015.txt
56.38979741274103,1762.6034887800472,41.98337157470856,20249065.0,70.30229541793085,315.0,1719355577.8763714,1060020152.1624382,645508721.4317032,1607799012.943564,8159232230.87611,B016.txt
-18.490114718086403,10583.462985024673,102.87595921800522,44761148.0,104.524386280488,753.0,1931918052.3545325,1155403854.6606765,1521470154.486038,4092179133.107283,76822648993.88048,B017.txt
8.519892604344642,2623.9371805596156,51.22438072402257,11047666.0,51.92808248480953,356.0,2000830987.7280366,880103644.0762959,490552263.0964146,1525044895.5735548,12281856756.625694,B018.txt
